GENESIS-Tabelle: 12421-0002
Vorausberechneter Bevölkerungsstand: Deutschland, Stichtag,;;;;;;
Varianten der Bevölkerungsvorausberechnung, Geschlecht,;;;;;;
Altersjahre;;;;;;
Bevölkerungsvorausberechnungen;;;;;;
Deutschland;;;;;;
Vorausberechneter Bevölkerungsstand (1000);;;;;;
;;;;Stichtag;Stichtag;Stichtag
;;;;31.12.2021;31.12.2050;31.12.2060
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;unter 1 Jahr;405;339;331
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;1-Jährige;408;338;335
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;2-Jährige;411;337;338
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;3-Jährige;411;336;341
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;4-Jährige;411;335;343
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;5-Jährige;415;334;344
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;6-Jährige;402;333;345
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;7-Jährige;396;332;345
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;8-Jährige;382;332;345
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;9-Jährige;381;334;345
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;10-Jährige;372;335;344
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;11-Jährige;381;338;343
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;12-Jährige;376;341;341
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;13-Jährige;385;344;340
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;14-Jährige;383;348;339
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;15-Jährige;377;353;339
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;16-Jährige;381;358;339
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;17-Jährige;391;363;340
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;18-Jährige;394;370;343
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;19-Jährige;406;378;347
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;20-Jährige;423;388;353
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;21-Jährige;452;397;360
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;22-Jährige;471;407;367
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;23-Jährige;488;415;374
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;24-Jährige;514;424;381
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;25-Jährige;511;431;388
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;26-Jährige;503;437;394
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;27-Jährige;510;442;399
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;28-Jährige;523;446;405
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;29-Jährige;530;449;410
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;30-Jährige;546;452;416
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;31-Jährige;595;453;421
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;32-Jährige;584;452;427
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;33-Jährige;597;451;432
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;34-Jährige;582;455;437
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;35-Jährige;568;442;441
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;36-Jährige;549;435;445
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;37-Jährige;543;421;448
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;38-Jährige;542;419;451
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;39-Jährige;551;411;453
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;40-Jährige;542;419;454
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;41-Jährige;543;414;455
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;42-Jährige;515;425;454
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;43-Jährige;508;425;452
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;44-Jährige;503;420;455
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;45-Jährige;491;427;442
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;46-Jährige;478;438;435
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;47-Jährige;481;441;420
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;48-Jährige;483;452;418
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;49-Jährige;523;467;409
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;50-Jährige;574;493;417
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;51-Jährige;593;508;412
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;52-Jährige;636;521;421
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;53-Jährige;664;541;420
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;54-Jährige;678;533;415
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;55-Jährige;694;520;420
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;56-Jährige;694;522;429
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;57-Jährige;702;531;431
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;58-Jährige;692;532;440
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;59-Jährige;664;543;453
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;60-Jährige;647;583;476
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;61-Jährige;621;567;488
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;62-Jährige;598;573;498
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;63-Jährige;560;553;515
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;64-Jährige;541;534;504
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;65-Jährige;519;511;489
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;66-Jährige;495;499;488
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;67-Jährige;476;491;493
